Scenarios,Detection_Rate,Contamination,Scenarios2,Type,Test_Type,Freq
Daily_Water_Test,1,High,Water Testing - Daily,Random Contamination - Once,Water,Daily
Water_Testing_1,0.0225,High,Water Testing -  End,Random Contamination - Once,Water,End of Season
Water_Testing_4,0.0223,High,Water Testing -  Start,Random Contamination - Once,Water,Start of Season
Water_Testing_2,0.0405,High,Water Testing - Start & End,Random Contamination - Once,Water,Start & End of Seas
Water_Testing_3,0.0676,High,"Water Testing - Start, Mid & End",Random Contamination - Once,Water,"Start, Mid & End of Season"
Daily_Produce_Test,0.3765,High,Produce Testing - Daily,Random Contamination - Once,Produce,Daily
Produce_Testing_1,0.0204,High,Produce Testing - End,Random Contamination - Once,Produce,End of Season
Produce_Testing_4,0.007,High,Produce Testing - Start,Random Contamination - Once,Produce,Start of Season
Produce_Testing_2,0.0222,High,Produce Testing - Start & End,Random Contamination - Once,Produce,Start & End of Seas
Produce_Testing_3,0.0351,High,"Produce Testing - Start, Mid & End",Random Contamination - Once,Produce,"Start, Mid & End of Season"
Daily_Water&Product_Test,1,High,Water and Produce Testing - Daily,Random Contamination - Once,Both,Daily
Water&Product_1,0.0425,High,Water and Produce Testing - End,Random Contamination - Once,Both,End of Season
Water&Product_4,0.0211,High,Water and Produce Testing - Start,Random Contamination - Once,Both,Start of Season
Water&Product_2,0.0688,High,Water and Produce Testing - Start & End,Random Contamination - Once,Both,Start & End of Seas
Water&Product_3,0.0931,High,"Water and Produce Testing - Start, Mid & End",Random Contamination - Once,Both,"Start, Mid & End of Season"
Daily_Water_Test,0.5846,Low,Water Testing - Daily,Random Contamination - Once,Water,Daily
Water_Testing_1,0.0133,Low,Water Testing -  End,Random Contamination - Once,Water,End of Season
Water_Testing_4,0.0109,Low,Water Testing -  Start,Random Contamination - Once,Water,Start of Season
Water_Testing_2,0.0265,Low,Water Testing - Start & End,Random Contamination - Once,Water,Start & End of Seas
Water_Testing_3,0.0413,Low,"Water Testing - Start, Mid & End",Random Contamination - Once,Water,"Start, Mid & End of Season"
Daily_Produce_Test,0.0155,Low,Produce Testing - Daily,Random Contamination - Once,Produce,Daily
Produce_Testing_1,0.0005,Low,Produce Testing - End,Random Contamination - Once,Produce,End of Season
Produce_Testing_4,0,Low,Produce Testing - Start,Random Contamination - Once,Produce,Start of Season
Produce_Testing_2,0.0005,Low,Produce Testing - Start & End,Random Contamination - Once,Produce,Start & End of Seas
Produce_Testing_3,0.0016,Low,"Produce Testing - Start, Mid & End",Random Contamination - Once,Produce,"Start, Mid & End of Season"
Daily_Water&Product_Test,0.597,Low,Water and Produce Testing - Daily,Random Contamination - Once,Both,Daily
Water&Product_1,0.0132,Low,Water and Produce Testing - End,Random Contamination - Once,Both,End of Season
Water&Product_4,0.0132,Low,Water and Produce Testing - Start,Random Contamination - Once,Both,Start of Season
Water&Product_2,0.0274,Low,Water and Produce Testing - Start & End,Random Contamination - Once,Both,Start & End of Seas
Water&Product_3,0.0388,Low,"Water and Produce Testing - Start, Mid & End",Random Contamination - Once,Both,"Start, Mid & End of Season"
