"","Drates","Cluster","samp_rate","assay_rate","Level","Type"
"1",0.648,"100",0.988,0.637263643405597,"Contamination - High","Produce Testing - Daily"
"2",0.687,"50",0.976,0.708299952412038,"Contamination - High","Produce Testing - Daily"
"3",0.761,"25",0.939,0.820903780395389,"Contamination - High","Produce Testing - Daily"
"4",0.803,"12.5",0.844,0.953669195305403,"Contamination - High","Produce Testing - Daily"
"5",0.699,"6.2",0.699,0.997929158720884,"Contamination - High","Produce Testing - Daily"
"6",0.453,"3.1",0.453,0.999999704165984,"Contamination - High","Produce Testing - Daily"
"7",0.257,"1.6",0.257,0.999999999999999,"Contamination - High","Produce Testing - Daily"
"8",0.129,"0.8",0.129,1,"Contamination - High","Produce Testing - Daily"
"9",0.09,"0.4",0.09,1,"Contamination - High","Produce Testing - Daily"
"10",0.051,"0.2",0.051,1,"Contamination - High","Produce Testing - Daily"
"11",0.021,"0.1",0.021,1,"Contamination - High","Produce Testing - Daily"
"12",0.057,"100",0.755,0.0717976907452779,"Contamination - High","Produce Testing 1 sample - End"
"13",0.067,"50",0.467,0.139136840545797,"Contamination - High","Produce Testing 1 sample - End"
"14",0.087,"25",0.237,0.345418297301748,"Contamination - High","Produce Testing 1 sample - End"
"15",0.101,"12.5",0.124,0.800922407121254,"Contamination - High","Produce Testing 1 sample - End"
"16",0.066,"6.2",0.066,0.996674765019032,"Contamination - High","Produce Testing 1 sample - End"
"17",0.03,"3.1",0.03,0.999999127982063,"Contamination - High","Produce Testing 1 sample - End"
"18",0.023,"1.6",0.023,1,"Contamination - High","Produce Testing 1 sample - End"
"19",0.007,"0.8",0.007,1,"Contamination - High","Produce Testing 1 sample - End"
"20",0.007,"0.4",0.007,1,"Contamination - High","Produce Testing 1 sample - End"
"21",0.001,"0.2",0.001,1,"Contamination - High","Produce Testing 1 sample - End"
"22",0.001,"0.1",0.001,1,"Contamination - High","Produce Testing 1 sample - End"
"23",0.04,"100",0.555,0.0705236020566473,"Contamination - Low","Produce Testing - Daily"
"24",0.033,"50",0.545,0.0711327872292505,"Contamination - Low","Produce Testing - Daily"
"25",0.03,"25",0.543,0.0736841057687366,"Contamination - Low","Produce Testing - Daily"
"26",0.038,"12.5",0.524,0.0734072378083236,"Contamination - Low","Produce Testing - Daily"
"27",0.037,"6.2",0.477,0.0825634743036713,"Contamination - Low","Produce Testing - Daily"
"28",0.041,"3.1",0.414,0.0986660484431169,"Contamination - Low","Produce Testing - Daily"
"29",0.047,"1.6",0.275,0.162327037457918,"Contamination - Low","Produce Testing - Daily"
"30",0.055,"0.8",0.172,0.348143495382592,"Contamination - Low","Produce Testing - Daily"
"31",0.081,"0.4",0.097,0.798565561465078,"Contamination - Low","Produce Testing - Daily"
"32",0.049,"0.2",0.049,0.995613789846016,"Contamination - Low","Produce Testing - Daily"
"33",0.015,"0.1",0.015,0.999999884720546,"Contamination - Low","Produce Testing - Daily"
"34",0.003,"100",0.032,0.0428860399939613,"Contamination - Low","Produce Testing 1 sample - End"
"35",0.006,"50",0.045,0.0434863101950748,"Contamination - Low","Produce Testing 1 sample - End"
"36",0,"25",0.042,0.0441723332820616,"Contamination - Low","Produce Testing 1 sample - End"
"37",0.002,"12.5",0.034,0.0460639410586796,"Contamination - Low","Produce Testing 1 sample - End"
"38",0.001,"6.2",0.028,0.0511403741028569,"Contamination - Low","Produce Testing 1 sample - End"
"39",0.003,"3.1",0.032,0.0803520091860905,"Contamination - Low","Produce Testing 1 sample - End"
"40",0.002,"1.6",0.017,0.106203560301637,"Contamination - Low","Produce Testing 1 sample - End"
"41",0.002,"0.8",0.007,0.415707462516502,"Contamination - Low","Produce Testing 1 sample - End"
"42",0.002,"0.4",0.003,0.837434442768325,"Contamination - Low","Produce Testing 1 sample - End"
"43",0.001,"0.2",0.001,0.996617314332905,"Contamination - Low","Produce Testing 1 sample - End"
"44",0.001,"0.1",0.001,0.999999986172735,"Contamination - Low","Produce Testing 1 sample - End"
"45",0.018,"100",0.353,0.0499486095433553,"Contamination - Low","Produce Testing 10 samples - End"
"46",0.02,"50",0.348,0.0515037167178005,"Contamination - Low","Produce Testing 10 samples - End"
"47",0.02,"25",0.283,0.0524739293725912,"Contamination - Low","Produce Testing 10 samples - End"
"48",0.011,"12.5",0.293,0.0552152650795966,"Contamination - Low","Produce Testing 10 samples - End"
"49",0.008,"6.2",0.265,0.0634754934295871,"Contamination - Low","Produce Testing 10 samples - End"
"50",0.018,"3.1",0.215,0.0800545510516999,"Contamination - Low","Produce Testing 10 samples - End"
"51",0.02,"1.6",0.132,0.127445257514476,"Contamination - Low","Produce Testing 10 samples - End"
"52",0.025,"0.8",0.062,0.310016604575183,"Contamination - Low","Produce Testing 10 samples - End"
"53",0.039,"0.4",0.045,0.802403847950181,"Contamination - Low","Produce Testing 10 samples - End"
"54",0.018,"0.2",0.018,0.996523020732211,"Contamination - Low","Produce Testing 10 samples - End"
"55",0.016,"0.1",0.016,0.99999986597881,"Contamination - Low","Produce Testing 10 samples - End"
"56",0.42,"100",1,0.424434932702864,"Contamination - High","Produce Testing 10 samples - End"
"57",0.475,"50",0.996,0.479535398025011,"Contamination - High","Produce Testing 10 samples - End"
"58",0.592,"25",0.928,0.630191311499554,"Contamination - High","Produce Testing 10 samples - End"
"59",0.626,"12.5",0.713,0.881160957916009,"Contamination - High","Produce Testing 10 samples - End"
"60",0.456,"6.2",0.456,0.995228215935947,"Contamination - High","Produce Testing 10 samples - End"
"61",0.287,"3.1",0.287,0.999999542572512,"Contamination - High","Produce Testing 10 samples - End"
"62",0.147,"1.6",0.147,1,"Contamination - High","Produce Testing 10 samples - End"
"63",0.07,"0.8",0.07,1,"Contamination - High","Produce Testing 10 samples - End"
"64",0.033,"0.4",0.033,1,"Contamination - High","Produce Testing 10 samples - End"
"65",0.015,"0.2",0.015,1,"Contamination - High","Produce Testing 10 samples - End"
"66",0.013,"0.1",0.013,1,"Contamination - High","Produce Testing 10 samples - End"
"67",0.075,"100",0.852,0.091644374483231,"Contamination - Low","Produce Testing 45 samples - End"
"68",0.074,"50",0.847,0.0883180591186809,"Contamination - Low","Produce Testing 45 samples - End"
"69",0.072,"25",0.808,0.0886813296203475,"Contamination - Low","Produce Testing 45 samples - End"
"70",0.078,"12.5",0.825,0.0901419065066858,"Contamination - Low","Produce Testing 45 samples - End"
"71",0.078,"6.2",0.734,0.0954569649216503,"Contamination - Low","Produce Testing 45 samples - End"
"72",0.07,"3.1",0.615,0.103073645523119,"Contamination - Low","Produce Testing 45 samples - End"
"73",0.082,"1.6",0.475,0.164859910071794,"Contamination - Low","Produce Testing 45 samples - End"
"74",0.096,"0.8",0.292,0.371797023855732,"Contamination - Low","Produce Testing 45 samples - End"
"75",0.126,"0.4",0.163,0.78876949248136,"Contamination - Low","Produce Testing 45 samples - End"
"76",0.085,"0.2",0.087,0.996216534712072,"Contamination - Low","Produce Testing 45 samples - End"
"77",0.039,"0.1",0.039,0.999999885086873,"Contamination - Low","Produce Testing 45 samples - End"
"78",0.924,"100",1,0.918957448710133,"Contamination - High","Produce Testing 45 samples - End"
"79",0.948,"50",1,0.945843107822346,"Contamination - High","Produce Testing 45 samples - End"
"80",0.984,"25",1,0.983995473046658,"Contamination - High","Produce Testing 45 samples - End"
"81",0.992,"12.5",0.998,0.993897337508616,"Contamination - High","Produce Testing 45 samples - End"
"82",0.954,"6.2",0.955,0.999236217588937,"Contamination - High","Produce Testing 45 samples - End"
"83",0.758,"3.1",0.758,0.999999856749497,"Contamination - High","Produce Testing 45 samples - End"
"84",0.545,"1.6",0.545,0.999999999999999,"Contamination - High","Produce Testing 45 samples - End"
"85",0.278,"0.8",0.278,1,"Contamination - High","Produce Testing 45 samples - End"
"86",0.138,"0.4",0.138,1,"Contamination - High","Produce Testing 45 samples - End"
"87",0.09,"0.2",0.09,1,"Contamination - High","Produce Testing 45 samples - End"
"88",0.036,"0.1",0.036,1,"Contamination - High","Produce Testing 45 samples - End"
