,Drates,Cluster,samp_rate,assay_rate
0,0.0019,100.0,0.0366,0.04355027341322624
1,0.002,50.0,0.0362,0.0440468313431321
2,0.0012,25.0,0.0336,0.04529783990914934
3,0.0016,12.5,0.0313,0.04656837471919783
4,0.0017,6.25,0.0274,0.05339953950695454
5,0.001,3.125,0.0223,0.06549238788992058
6,0.0014,1.5625,0.0121,0.10208065278589251
7,0.0023,0.78125,0.0078,0.29423637056322544
8,0.0022,0.390625,0.0035,0.6824177118398937
9,0.0014,0.1953125,0.0014,0.9978563989016689
10,0.0007,0.09765625,0.0007,0.9999998710550626
